Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
5.38414e-01,0.04,-3.8147e-08
5.38416e-01,0.02,0.06
5.38418e-01,0.04,-0.02
5.38419e-01,0.02,0.06
5.38421e-01,0.04,-0.02
5.38422e-01,0.02,0.06
5.38424e-01,0.06,-3.8147e-08
5.38426e-01,0.04,0.06
5.38427e-01,0.04,-3.8147e-08
5.38429e-01,0.04,0.08
5.38430e-01,0.04,-3.8147e-08
5.38432e-01,0.06,0.06
5.38434e-01,0.04,-3.8147e-08
5.38435e-01,0.04,0.06
5.38437e-01,0.02,-3.8147e-08
5.38438e-01,0.02,0.06
5.38440e-01,0.02,-3.8147e-08
5.38442e-01,0.02,0.06
5.38443e-01,0.02,-3.8147e-08
5.38445e-01,0.02,0.06
5.38446e-01,0.04,-3.8147e-08
5.38448e-01,0.04,0.06
5.38450e-01,0.04,-3.8147e-08
5.38451e-01,0.04,0.06
5.38453e-01,0.04,-0.02
5.38454e-01,0.04,0.06
5.38456e-01,0.04,-3.8147e-08
5.38458e-01,0.02,0.06
5.38459e-01,0.02,-3.8147e-08
5.38461e-01,0.06,0.06
5.38462e-01,0.04,-3.8147e-08
5.38464e-01,0.02,0.06
5.38466e-01,0.02,-3.8147e-08
5.38467e-01,0.04,0.06
5.38469e-01,0.04,-3.8147e-08
5.38470e-01,0.02,0.06
5.38472e-01,0.02,-3.8147e-08
5.38474e-01,0.02,0.06
5.38475e-01,0.02,-3.8147e-08
5.38477e-01,0.04,0.06
5.38478e-01,0.04,-3.8147e-08
5.38480e-01,0.04,0.06
5.38482e-01,0.02,-3.8147e-08
5.38483e-01,0.04,0.06
5.38485e-01,0.04,-0.02
5.38486e-01,0.04,0.08
5.38488e-01,0.02,-3.8147e-08
