Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-07,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
6.279510e-01,0.04,0.06
6.279512e-01,0.04,-3.8147e-08
6.279514e-01,0.04,0.06
6.279515e-01,0.04,-3.8147e-08
6.279517e-01,0.04,0.06
6.279518e-01,0.02,-3.8147e-08
6.279520e-01,0.06,0.06
6.279522e-01,0.02,-3.8147e-08
6.279523e-01,0.02,0.06
6.279525e-01,0.04,-3.8147e-08
6.279526e-01,0.04,0.06
6.279528e-01,0.04,-3.8147e-08
6.279530e-01,0.02,0.06
6.279531e-01,0.02,-3.8147e-08
6.279533e-01,0.02,0.06
6.279534e-01,0.04,-3.8147e-08
6.279536e-01,0.04,0.06
6.279538e-01,0.04,-3.8147e-08
6.279539e-01,0.02,0.06
6.279541e-01,0.04,-3.8147e-08
6.279542e-01,0.04,0.06
6.279544e-01,0.04,-3.8147e-08
6.279546e-01,0.02,0.06
6.279547e-01,0.04,-3.8147e-08
6.279549e-01,0.04,0.06
6.279550e-01,0.04,-3.8147e-08
6.279552e-01,0.02,0.06
6.279554e-01,0.04,-3.8147e-08
6.279555e-01,0.04,0.06
6.279557e-01,0.06,-3.8147e-08
6.279558e-01,0.04,0.06
6.279560e-01,0.04,0.02
6.279562e-01,0.04,0.06
6.279563e-01,0.04,-3.8147e-08
6.279565e-01,0.04,0.06
6.279566e-01,0.02,-3.8147e-08
6.279568e-01,0.04,0.06
6.279570e-01,0.02,-3.8147e-08
6.279571e-01,0.04,0.06
6.279573e-01,0.04,-3.8147e-08
6.279574e-01,0.04,0.06
6.279576e-01,0.04,-3.8147e-08
6.279578e-01,0.04,0.06
6.279579e-01,0.02,-3.8147e-08
6.279581e-01,0.04,0.06
6.279582e-01,0.04,-3.8147e-08
6.279584e-01,0.02,0.06
6.279586e-01,0.02,-3.8147e-08
6.279587e-01,-3.8147e-08,0.06
6.279589e-01,0.04,-3.8147e-08
6.279590e-01,0.04,0.06
6.279592e-01,0.04,-3.8147e-08
6.279594e-01,0.02,0.06
6.279595e-01,0.02,-3.8147e-08
6.279597e-01,0.06,0.06
6.279598e-01,0.04,-3.8147e-08
6.279600e-01,0.02,0.06
6.279602e-01,0.02,-3.8147e-08
6.279603e-01,0.04,0.06
